,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12
round 1,18.0,21.0,11.0,7.0,224.0,102.0,107.0,4621.0,1514.0,720.0,1007.0,3890.0
round 2,9.0,10.0,5.0,6.0,111.0,43.0,29.0,2973.0,1064.0,691.0,846.0,3742.0
round 3,7.0,10.0,6.0,5.0,119.0,46.0,34.0,2993.0,1089.0,715.0,851.0,4089.0
round 4,7.0,9.0,6.0,5.0,112.0,48.0,28.0,2961.0,1078.0,688.0,852.0,3737.0
round 5,13.0,12.0,5.0,5.0,92.0,49.0,30.0,2849.0,1091.0,703.0,840.0,4084.0
round 6,10.0,8.0,7.0,5.0,110.0,50.0,29.0,2962.0,1067.0,709.0,867.0,3684.0
round 7,8.0,8.0,4.0,4.0,114.0,48.0,28.0,2878.0,1135.0,667.0,884.0,3732.0
round 8,9.0,14.0,8.0,7.0,113.0,51.0,30.0,2918.0,1136.0,723.0,876.0,4080.0
round 9,7.0,10.0,8.0,8.0,134.0,45.0,29.0,2884.0,1136.0,687.0,868.0,4068.0
round 10,6.0,7.0,5.0,5.0,117.0,45.0,28.0,2861.0,1087.0,720.0,843.0,4026.0
Average,9.4,10.9,6.5,5.7,124.6,52.7,37.2,3090.0,1139.7,702.3,873.4,3913.2
stdv,3.4409301068170506,3.8845849199110063,1.9621416870348585,1.1874342087037917,34.53172454425061,16.60150595578606,23.327237298917336,512.5982832589278,127.55081340391366,17.5331115321839,46.678046231606565,164.5744816185061
