,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12
round 1,5.0,21.0,260.0,307.0,4.0,4.0,4.0,3.0,145.0,6076.0,223.0,1678.0
round 2,4.0,17.0,271.0,289.0,4.0,6.0,7.0,4.0,102.0,6113.0,226.0,1682.0
round 3,4.0,15.0,254.0,302.0,5.0,6.0,4.0,3.0,106.0,6060.0,231.0,1655.0
round 4,5.0,17.0,265.0,310.0,5.0,4.0,5.0,4.0,105.0,6076.0,222.0,1722.0
round 5,5.0,16.0,254.0,296.0,7.0,4.0,6.0,6.0,106.0,6267.0,233.0,1661.0
round 6,4.0,15.0,259.0,310.0,5.0,6.0,4.0,4.0,109.0,6083.0,224.0,1667.0
round 7,4.0,15.0,257.0,307.0,6.0,5.0,6.0,4.0,104.0,6060.0,240.0,1649.0
round 8,5.0,15.0,259.0,313.0,5.0,6.0,7.0,4.0,103.0,6072.0,222.0,1652.0
round 9,4.0,16.0,255.0,314.0,6.0,4.0,4.0,5.0,105.0,6115.0,223.0,1670.0
round 10,4.0,15.0,263.0,298.0,6.0,6.0,5.0,6.0,102.0,6087.0,234.0,1652.0
Average,4.4,16.2,259.7,304.6,5.3,5.1,5.2,4.3,108.7,6100.9,227.8,1668.8
stdv,0.4898979485566356,1.7776388834631176,5.119570294468081,7.722693830523129,0.9,0.9433981132056604,1.16619037896906,1.004987562112089,12.264175471673585,58.19699304946949,5.96322060635023,20.740298937093456
